participant,stress,nonstress_available,nonstress_kept,ratio,total,total_pool
101,234.0,7021.0,468.0,2.0,702.0,7255.0
102,3451.0,5624.0,5624.0,1.63,9075.0,9075.0
104,156.0,0.0,0.0,0.0,156.0,156.0
105,546.0,10677.0,1092.0,2.0,1638.0,11223.0
106,156.0,6352.0,312.0,2.0,468.0,6508.0
107,78.0,3774.0,156.0,2.0,234.0,3852.0
108,780.0,2582.0,1560.0,2.0,2340.0,3362.0
109,1120.0,1565.0,1565.0,1.4,2685.0,2685.0
110,980.0,6482.0,1960.0,2.0,2940.0,7462.0
111,1522.0,3181.0,3044.0,2.0,4566.0,4703.0
112,3183.0,15479.0,6366.0,2.0,9549.0,18662.0
