round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD,Num_Labeled,Total_Data,Pct_Total_Labeled,length_labeled
0,0.960906323003512,0.021760319957210072,0.6183062456199016,0.020040530471536797,0.8044290516371894,0.08000031361149748,105,2644,3.9712556732223905,
1,0.862497788312879,0.041866850725266073,0.6611227220576156,0.019834850523824967,0.8663283893382838,0.0628450715807332,122,2644,4.614220877458396,122.0
2,0.8883261766756015,0.03358362426954398,0.6591884863767139,0.01981265883489799,0.8611207243437048,0.06313285020944868,141,2644,5.332829046898638,141.0
3,0.8437363863330875,0.036591306174173,0.6645841112596064,0.020110882949165833,0.8726896591046983,0.07141135822221388,162,2644,6.127080181543117,162.0
4,0.8743732898105393,0.03268395473916854,0.6596294641483089,0.019606018023387076,0.898418239077015,0.05576407677812111,183,2644,6.921331316187595,183.0
5,0.8949003188813263,0.027479278263441025,0.6343109801915008,0.02022495667950569,0.8684773030767056,0.06812675585370906,192,2644,7.2617246596066565,192.0
6,0.8968831449934108,0.02549946950160175,0.6391249181028853,0.02004113010573931,0.8543328014537137,0.07446861865698266,213,2644,8.055975794251134,213.0
7,0.8888994642006643,0.026851612428746483,0.6272647747379461,0.01986433205008169,0.8183691866724423,0.08566939896770855,222,2644,8.396369137670197,222.0
8,0.8822940458899245,0.02573244622228254,0.637641448212053,0.019856612108705242,0.8361666361912303,0.08086836408378918,233,2644,8.812405446293495,233.0
9,0.8871675876519131,0.025902067327738167,0.6483806953341068,0.02029365343830759,0.8357026867004353,0.08004564527186697,254,2644,9.606656580937972,254.0
10,0.9011952367020559,0.02185996354558644,0.6155153832576059,0.02059065888659206,0.8060516657741297,0.08224300244173449,275,2644,10.40090771558245,275.0
11,0.89023636158757,0.022231538827996552,0.6001173539462515,0.02046069615892149,0.8349636890211143,0.08209557473839141,284,2644,10.741301059001513,284.0
12,0.8986491352593836,0.023505953579063942,0.6155055818488835,0.0210480322132773,0.8144897039356497,0.07611803198998907,305,2644,11.53555219364599,305.0
13,0.8433936798266288,0.02784071234723279,0.6355565246017877,0.020094830556905734,0.8541511287311138,0.06748057470040325,314,2644,11.875945537065054,314.0
14,0.9006448673564703,0.021620391646948796,0.6196849944232667,0.020752598996022043,0.8925523215274275,0.05280165884670375,335,2644,12.670196671709531,335.0
15,0.9113173760024685,0.020706991609389668,0.6144731289486611,0.021108162187642353,0.8229494667962699,0.07900153116430511,344,2644,13.010590015128592,344.0
16,0.9089316018324068,0.01959649301596428,0.6139415688060182,0.020560371121337476,0.8059825962645616,0.08324125503531843,355,2644,13.426626323751892,355.0
17,0.8733974086593481,0.020927722894372256,0.6399899248068841,0.020341557354676448,0.8438705450185046,0.07151550445326338,376,2644,14.22087745839637,376.0
18,0.9095990588085275,0.018843999454591098,0.6264999412695609,0.02026728434982971,0.8391352115273346,0.0771349592364609,385,2644,14.56127080181543,385.0
19,0.8842048717382223,0.021126478027719223,0.6122371053835789,0.02067141171530093,0.8196036293267841,0.07794568451683502,396,2644,14.97730711043873,396.0
20,0.8817782738225761,0.020291764216623136,0.6195788760034113,0.020320300079521295,0.8195045041737544,0.08049929527946234,407,2644,15.393343419062028,407.0
