round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,4.0,2644.0,0.15128593040847202,1.0,0.0,0.3718649935570164,0.014231327592065864,0.22304220326409793,0.06095249844617211
1,7.0,2644.0,0.264750378214826,1.0,1.4970244210116104e-17,0.5201463342403481,0.01505832858749601,0.5905212603873189,0.07624302584305839
2,10.0,2644.0,0.37821482602118,1.0,1.2671167600095795e-17,0.5859203587081528,0.014626387996200883,0.6719772231754881,0.07930395479857509
3,13.0,2644.0,0.491679273827534,1.0,1.68457908238908e-17,0.5937675879847241,0.014810537747366133,0.6812579906944642,0.07852561726622591
4,16.0,2644.0,0.6051437216338881,1.0,2.3033594317051993e-17,0.6098522751505915,0.014536194441027559,0.6784107623479378,0.07043378792792418
5,19.0,2644.0,0.7186081694402421,1.0,1.8586880269489687e-17,0.5855892598226813,0.014785228773340228,0.630348173992065,0.07643040534372522
6,22.0,2644.0,0.8320726172465961,1.0,1.5708780941888724e-17,0.6114798760794522,0.014487938932368941,0.6237823647020322,0.07543412284347184
7,25.0,2644.0,0.9455370650529501,0.9864551958481795,0.014238767170320353,0.619623842235735,0.01462950244813575,0.6449527565875321,0.07571676658884599
8,28.0,2644.0,1.059001512859304,1.0,1.6096710490477824e-17,0.6472888938667389,0.01471946993995468,0.7220757859304435,0.06631060608810686
9,31.0,2644.0,1.172465960665658,0.9873242822014487,0.01279697827188213,0.6373228650736867,0.014677891144396108,0.7142138301337367,0.068668575300848
10,34.0,2644.0,1.285930408472012,0.9933016514092705,0.007179518526526181,0.6406195455806164,0.014540303650398689,0.7193931921032327,0.0706223326987576
11,37.0,2644.0,1.399394856278366,0.9942452086477217,0.006370815359957227,0.6469859878906079,0.014313387039194252,0.7294836511122441,0.06796203969004054
12,40.0,2644.0,1.51285930408472,0.9696905595527028,0.018269144409629814,0.6196791066387232,0.0145756093163146,0.6469147806211064,0.08112091851220542
13,43.0,2644.0,1.626323751891074,0.9420084512592477,0.026418763870548798,0.6005885396420281,0.014577787615811572,0.6633967352375179,0.07763485521239039
14,46.0,2644.0,1.739788199697428,0.9696297933576222,0.016880608997491303,0.6213103577208698,0.014301164315615768,0.688564946750675,0.07609359552188077
15,49.0,2644.0,1.853252647503782,0.9353117561286897,0.027329637121203162,0.6104504112435248,0.014937561691943407,0.6307729723334161,0.0773821523263761
16,52.0,2644.0,1.966717095310136,0.8992130919109997,0.03462353811900536,0.6548603610151267,0.014126344412027524,0.7342483680650231,0.06879316739433432
17,55.0,2644.0,2.08018154311649,0.9552096290364049,0.022952204853736603,0.6175600569925768,0.01459152767021908,0.6538587963993009,0.08016219454652439
18,58.0,2644.0,2.1936459909228443,0.8879046417200708,0.034486251379471866,0.6251506856408439,0.014173426582379231,0.6964780874975534,0.07757843418244088
19,61.0,2644.0,2.307110438729198,0.9174198322019165,0.028343655126332936,0.5853326054706788,0.014403268857733475,0.6596191905260115,0.08338696293441687
20,64.0,2644.0,2.4205748865355523,0.9310112576535046,0.025351834356637907,0.6260211605010931,0.01402504354162698,0.6876775357448179,0.07905977654363702
