round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,9.0,2644.0,0.340393343419062,1.0,1.7208107345559408e-17,0.438641338575321,0.0066724257873390395,0.4500785477081334,0.025386804851140355
1,19.0,2644.0,0.7186081694402421,1.0,2.4837763520506754e-17,0.4482597512499117,0.006728729699953623,0.46532038487718147,0.025289612535144522
2,29.0,2644.0,1.0968229954614221,0.9991331138219706,0.0010840366505809676,0.5408541933491176,0.006567648732347773,0.5608921722113094,0.025012506455597352
3,39.0,2644.0,1.475037821482602,0.9732439354434429,0.0069904237150426795,0.5830223905217294,0.006493216924854625,0.5952077168877322,0.025636998058085413
4,49.0,2644.0,1.853252647503782,0.9355840357410855,0.011800793688054976,0.5688436755543126,0.0065710232319277665,0.5604124722030487,0.0257967005464083
5,59.0,2644.0,2.231467473524962,0.917720512148642,0.01250072044858646,0.5752737587704124,0.006581224427744541,0.5820324416085553,0.02566046969071705
6,69.0,2644.0,2.6096822995461424,0.9069370339623324,0.01242832627238516,0.573822381725404,0.006589196408831339,0.5903046210394699,0.025539170965234535
7,79.0,2644.0,2.987897125567322,0.8811013119335268,0.014030232764641805,0.5594296818228175,0.006544320950980866,0.5599082394790442,0.025724784200997854
8,89.0,2644.0,3.366111951588502,0.8801181042780541,0.013041119446716118,0.5596168709191112,0.006577420557493517,0.5747380986225671,0.025534457807613833
9,99.0,2644.0,3.7443267776096825,0.8701154041073239,0.013014696717216561,0.5648191409491452,0.006730307982891,0.5694836857701759,0.025412322744668234
10,109.0,2644.0,4.122541603630863,0.8611123104957977,0.012299073869949887,0.5801313912746588,0.006698007367962219,0.5838679996014,0.024989555688173046
11,119.0,2644.0,4.500756429652042,0.8384216052093538,0.013246050112843154,0.5859438432739036,0.006696352592963876,0.5957907100283029,0.02463343172927934
12,129.0,2644.0,4.878971255673222,0.8201837299108277,0.0135394227665021,0.6202738983878052,0.006587868808554188,0.6375525175139912,0.023800659269486577
13,139.0,2644.0,5.257186081694402,0.8254166648315365,0.013058995288820149,0.6335132215126562,0.006475899281371694,0.6506617429558816,0.023318356932791388
14,149.0,2644.0,5.635400907715582,0.8077670480053644,0.012844920470319222,0.6393902875708363,0.006395926660850806,0.6544673656062384,0.023117768589096376
15,159.0,2644.0,6.013615733736763,0.796122467931507,0.013134473350235664,0.631818696009192,0.0064980652799608105,0.6572737163953682,0.023128527494060646
16,169.0,2644.0,6.391830559757943,0.7857615084346673,0.013473897743884484,0.6304996281170431,0.00645236691866675,0.6587557197067565,0.023051711545262227
17,179.0,2644.0,6.770045385779123,0.7899198142038648,0.012540550809407974,0.6357241331021369,0.006394564037890484,0.6576000776258458,0.023181366978894252
18,189.0,2644.0,7.148260211800303,0.7839659707945742,0.012106136884854419,0.6386126658360279,0.006408179383287588,0.6715304353394644,0.022934084340489946
19,199.0,2644.0,7.526475037821482,0.7858100547125327,0.012067842190794481,0.6392526359984032,0.006323171864970438,0.6714335227418683,0.023013378915485425
20,209.0,2644.0,7.904689863842663,0.7863380253106947,0.010947516649723392,0.6367242294990789,0.0062973378794668085,0.6608171105658728,0.02323181571493832
