round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,4.0,2644.0,0.15128593040847202,0.9217464290138327,0.06584006639993698,0.5136212100448602,0.006006757118960923,0.5059981388461202,0.021204722952554232
1,16.0,2644.0,0.6051437216338881,0.5995658303651128,0.052445783831599466,0.6538397236778967,0.005056591855853679,0.6444490161525183,0.021249805448117748
2,28.0,2644.0,1.059001512859304,0.5512405457073817,0.036686803427681616,0.6531439328686944,0.005051875797676228,0.6436629622825678,0.02119067555625293
3,40.0,2644.0,1.5128593040847202,0.5656782861042723,0.03226879649372307,0.653059493598068,0.005057547895610371,0.6452814314869375,0.02115038591964806
4,52.0,2644.0,1.966717095310136,0.5824821688131951,0.027630372566874367,0.6525123672237826,0.005052412825111173,0.6426373374018015,0.02119878723301658
5,64.0,2644.0,2.4205748865355523,0.5250253424664131,0.027121021475464996,0.6531018901021053,0.005052716577627394,0.6453553212086695,0.02117438325461503
6,76.0,2644.0,2.8744326777609683,0.5453916521048495,0.02277039423610258,0.6531272051490312,0.005052421886846091,0.6445224838978247,0.021177667401070046
7,88.0,2644.0,3.3282904689863844,0.6184051241236351,0.021471695075837214,0.6527897785314066,0.0050515324714258975,0.6441237942682492,0.021206273341599854
8,100.0,2644.0,3.7821482602118004,0.6828373701514775,0.01845217978599535,0.6521762883261001,0.00505935642995862,0.6432560734655446,0.02123819197395191
9,112.0,2644.0,4.236006051437216,0.6474704889693957,0.017426690043657815,0.6514835188534441,0.0050742785681981385,0.6412496892608656,0.0213082938915548
10,124.0,2644.0,4.689863842662632,0.6538155498546314,0.016159070136467384,0.6510036056445635,0.0050798848308743335,0.6403781197473581,0.021320537757275212
