round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,5.0,2644.0,0.18910741301059,1.0,0.0,0.5020450273388709,0.0220559713405472,0.5400332877196672,0.05981459809761556
1,8.0,2644.0,0.30257186081694404,1.0,0.0,0.4582042124069221,0.02169753293447979,0.4447591871721329,0.05952139487665464
2,11.0,2644.0,0.41603630862329805,1.0,2.034652405532022e-17,0.5682505981257782,0.022081581217734205,0.6020947661759583,0.06237467419608712
3,14.0,2644.0,0.529500756429652,1.0,1.1016874107243988e-17,0.5647893599094287,0.0226033255451813,0.5703318792812051,0.061991564244051625
4,17.0,2644.0,0.642965204236006,1.0,5.08069988254562e-18,0.6201630892561356,0.020859082243026874,0.6683450855624867,0.059043868348560694
5,20.0,2644.0,0.75642965204236,0.970206082249837,0.04725697954798284,0.5459097549504895,0.02190953700645447,0.5466519468754304,0.06184491158756857
6,23.0,2644.0,0.869894099848714,1.0,1.7607068017332118e-17,0.6319952652841399,0.02121508694774803,0.6789675476299258,0.05987917561599943
7,26.0,2644.0,0.983358547655068,0.9776924312901906,0.034968247345255235,0.6347534002593682,0.021183073498718376,0.6778565248434293,0.05965463865417547
8,29.0,2644.0,1.0968229954614221,0.9729474593758495,0.03769666656208209,0.6756918128919126,0.02061773290617396,0.70556153691051,0.0562741583448304
9,32.0,2644.0,1.2102874432677762,0.9575741760440919,0.04534146467881385,0.6760875842055463,0.02057323179276462,0.6976223458894714,0.057793437947415614
10,35.0,2644.0,1.3237518910741302,0.8470663417092597,0.08722124948344985,0.6633420124716061,0.020836306758048758,0.6778544192151137,0.058966431069038955
11,38.0,2644.0,1.4372163388804842,0.9161492433528293,0.05494031042301553,0.6962843115156554,0.019879203733900088,0.7413383913268702,0.05447067562857965
12,41.0,2644.0,1.5506807866868382,0.9330223143349076,0.04875015003893521,0.6841789385576791,0.020095737420485517,0.6857141782013446,0.05889464483522237
13,44.0,2644.0,1.6641452344931922,0.9773335398342303,0.025060689746162303,0.6810911191358285,0.02056576137504617,0.7012341342873081,0.05635654841801082
14,47.0,2644.0,1.7776096822995462,0.9495238508415573,0.038618279447090634,0.6835409586911251,0.02016016830152422,0.696125407665941,0.058254653681726866
15,50.0,2644.0,1.8910741301059002,0.860393121748035,0.06288123365895605,0.688241959059638,0.019488621407599098,0.7439357600458354,0.05501630821930769
16,53.0,2644.0,2.004538577912254,0.9166489126104549,0.04726164266650997,0.6926096202635345,0.01952087378724436,0.7677990557764123,0.05210381029845821
17,56.0,2644.0,2.118003025718608,0.9419300466500142,0.03489995691441034,0.6962031433318732,0.019159986497599566,0.7681745836782248,0.05116757068612811
18,59.0,2644.0,2.231467473524962,0.9535097957584513,0.033112069207722944,0.6729127075754362,0.019666293645490267,0.7516328535674206,0.05176425436643926
19,62.0,2644.0,2.344931921331316,0.9125788800895993,0.04237533871586753,0.6767588257431247,0.01950864935192398,0.7386380637595324,0.05428970041542893
20,65.0,2644.0,2.4583963691376702,0.9459621428622743,0.03478644473995995,0.6677329040967684,0.019499646565963372,0.7183367214947596,0.05745637157475824
