round,Num_Labeled,Total_Data,Pct_Total_Labeled,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,529.0,2644.0,20.007564296520425,0.7895518248580535,0.022492626531602288,0.6591558691771993,0.019705062761608463,0.7747591574507379,0.051370107786923885
1,532.0,2644.0,20.12102874432678,0.7521242882846095,0.02428458863563712,0.6631409263693879,0.019356329057482535,0.8011899553454668,0.04581098113456075
2,535.0,2644.0,20.234493192133133,0.7766994629434179,0.023704631013011304,0.653104952391619,0.019884799057758883,0.8138668720078633,0.04489847373428956
3,538.0,2644.0,20.347957639939487,0.7677072054585167,0.023007898635334378,0.6775213805358093,0.018692184780651384,0.7766616340938258,0.05232070007036707
4,541.0,2644.0,20.461422087745838,0.778278038616213,0.0235314514368492,0.6634513915849652,0.01907651672983681,0.764635361328525,0.05497989172301734
5,544.0,2644.0,20.574886535552192,0.7323683022893738,0.02547608669027703,0.6727555209570023,0.018805677874162752,0.761777613761586,0.054801796463531734
6,547.0,2644.0,20.688350983358546,0.7612727509874251,0.02421517178936875,0.6780907803889253,0.01919776469927601,0.7491091282056934,0.05528688255544407
7,550.0,2644.0,20.8018154311649,0.7484888600659344,0.025046188286124656,0.6607201435998294,0.018841041099299183,0.807617948878096,0.04710439792747224
8,553.0,2644.0,20.915279878971255,0.772122632638259,0.02363934093893551,0.6608782942759779,0.019552809154137655,0.7542204579445001,0.054178848837129354
9,556.0,2644.0,21.02874432677761,0.7672945599588622,0.02254961540326194,0.6716377713411457,0.0190797299095653,0.7392628715401499,0.05338620867432903
10,559.0,2644.0,21.142208774583963,0.796481171450806,0.022150325464685396,0.6631157411255758,0.01912457570774312,0.7873364192186917,0.049243155602963745
11,562.0,2644.0,21.255673222390318,0.756081944015645,0.023622291521460205,0.6698499041456014,0.018809672698109115,0.8177351680315431,0.04434848969585306
12,565.0,2644.0,21.36913767019667,0.7570636895833425,0.02283097502496022,0.6663244137216812,0.01912636146377205,0.7852487181311903,0.05104959040517243
13,568.0,2644.0,21.482602118003026,0.7597682300953448,0.023470015556821627,0.6523923746501049,0.019936973053225608,0.7844696818431569,0.04812172622591359
14,571.0,2644.0,21.59606656580938,0.7362033529537086,0.025108739605173288,0.6641083179444093,0.019189458397147283,0.804440308974665,0.04547641458748
15,574.0,2644.0,21.709531013615734,0.7490999584197997,0.02370994588790425,0.6723504649357448,0.019308977948199912,0.781570502581814,0.05033868615054141
16,577.0,2644.0,21.82299546142209,0.7445935106949695,0.024492482801798658,0.6716573906074484,0.019761130973966968,0.8253674928984595,0.04231700803339629
17,580.0,2644.0,21.936459909228443,0.731340917162036,0.02531385335492556,0.675329483721923,0.019870363126683797,0.7792410906006423,0.0526533398518855
18,583.0,2644.0,22.049924357034797,0.7624417945289638,0.023437502466583267,0.6690530816718798,0.01908201815103861,0.7990958092781194,0.04822433904711948
19,586.0,2644.0,22.16338880484115,0.7520398713573938,0.023330552204124597,0.6666962379665586,0.01906422061747981,0.8071439277555715,0.04596612888510874
20,589.0,2644.0,22.276853252647502,0.7485266442393702,0.024822328409304324,0.6662137662957871,0.01917124131679999,0.8038907453752231,0.04728170539862734
