round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.6470399246395506,0.06665745007426618,0.5953944850561621,0.06916671734286109,0.6202937246437823,0.07511867217973839
1,0.5904125299384189,0.06363041091465449,0.6129872849457076,0.06776536411919955,0.7034245437980481,0.07159757048757848
2,0.6284686280181947,0.05740358854321069,0.6551667947063496,0.06383284511091034,0.7619253663952179,0.06511345224881826
3,0.6287150643325039,0.05381467782681733,0.643422123772372,0.06562278772177223,0.7477790366841199,0.0689092264900356
4,0.713922036946572,0.04581712278994387,0.6991477111867856,0.06389522077095565,0.7686915297809537,0.06613066446243364
5,0.6839082376043318,0.04583800120955427,0.7234292607005726,0.061775581427702855,0.7235655808035357,0.06650373250314237
6,0.7226459499038128,0.041022397519201316,0.7446051241565077,0.061050563499015845,0.7814465062686566,0.060791682319039336
7,0.7342394555367453,0.04044767473939666,0.7387628259961326,0.06207780785861179,0.7828275239864759,0.06078449463719779
8,0.7301346589138088,0.03813979565869786,0.7349465589998766,0.06169683042643857,0.817063038946577,0.05787098638724056
9,0.7246894078268676,0.035979034772926057,0.7429488068381025,0.06073307613835534,0.8228943150091385,0.05789588904256024
10,0.7478656683248894,0.03494262882205053,0.7567748960754033,0.06062827234169948,0.7912703281284647,0.0640055928030728
11,0.7476742524296773,0.03299439564248371,0.7961866954831398,0.05560055441324636,0.7901266887254896,0.06327007998999172
12,0.7492047370269339,0.030238282774436038,0.7918389132909425,0.056378638639729556,0.7932591709494354,0.06272433491811726
