participant,ub_auc_mean,ub_auc_std,ub_valid_frac,train_auc_mean,train_auc_std,train_test_gap,ub_ap,n_train,n_val,n_test,test_spike_rate
15,0.7554,0.0557,1.0,0.7626,0.0116,0.0072,0.7945,2644,1075,133,0.519
20,0.8621,0.0852,1.0,0.7626,0.0116,-0.0995,0.8759,2644,1075,43,0.628
22,0.889,0.0609,1.0,0.7626,0.0116,-0.1264,0.9034,2644,1075,57,0.596
23,0.5207,0.1863,0.77,0.7626,0.0116,0.2419,0.0527,2644,1075,60,0.033
24,0.6158,0.0905,1.0,0.7626,0.0116,0.1468,0.5735,2644,1075,66,0.515
25,0.7937,0.0687,1.0,0.7626,0.0116,-0.0311,0.8067,2644,1075,84,0.607
26,0.6021,0.1044,1.0,0.7626,0.0116,0.1605,0.4529,2644,1075,50,0.34
30,0.7502,0.0501,1.0,0.7626,0.0116,0.0124,0.7122,2644,1075,156,0.558
31,0.5747,0.0837,1.0,0.7626,0.0116,0.1879,0.3038,2644,1075,81,0.272
32,0.7013,0.1199,0.996,0.7626,0.0116,0.0613,0.372,2644,1075,30,0.233
33,0.6595,0.0794,1.0,0.7626,0.0116,0.1031,0.6468,2644,1075,66,0.5
35,0.8416,0.0377,1.0,0.7626,0.0116,-0.079,0.7611,2644,1075,145,0.407
39,0.991,0.0139,0.99,0.7626,0.0116,-0.2284,0.9986,2644,1075,43,0.86
