round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.7265680772438567,0.06548177350003338,0.5,0.0,0.5,0.0
1,0.745754035696262,0.05449318943984954,0.5,0.0,0.5,0.0
2,0.7184000368121768,0.05232543578028574,0.5,0.0,0.5,0.0
3,0.7148009913765401,0.050100507009426164,0.5,0.0,0.5,0.0
4,0.7104546397072509,0.04698688839482853,0.5,0.0,0.5,0.0
5,0.7080412382626592,0.04323895908939704,0.5,0.0,0.5,0.0
6,0.7086259077365228,0.04201823508565243,0.5,0.0,0.5,0.0
7,0.7117482315674775,0.03975831098594258,0.5,0.0,0.5,0.0
8,0.7115039182804714,0.038538329770266014,0.5,0.0,0.5,0.0
9,0.7030105227570757,0.03737090691334257,0.5,0.0,0.5,0.0
10,0.7205055396107694,0.03536738042158325,0.5,0.0,0.5,0.0
11,0.7314908365012551,0.03549524914316472,0.5,0.0,0.5,0.0
12,0.7473630193390414,0.03254590697419201,0.5,0.0,0.5,0.0
