round,AUC_Mean_Train,AUC_STD_Train,AUC_Mean_Val,AUC_STD_Val,AUC_Mean,AUC_STD
0,0.9884674041084289,0.009651665648985267,0.75213456284153,0.2735297349308924,0.2582010582010582,0.24230970539055596
1,0.9183240255124326,0.03209669027005115,0.368584927140255,0.28983966588262433,0.38770723104056437,0.2748517172138916
2,0.9340458312059092,0.028854585210957163,0.24428790983606558,0.24309859855934166,0.3239417989417989,0.2502908314544035
3,0.87089748767539,0.03683737659922765,0.549282786885246,0.288788730917582,0.38770723104056437,0.2748517172138916
4,0.9305141654830672,0.02909035734779016,0.2385103597449909,0.238795530621818,0.2582010582010582,0.24230970539055596
5,0.8995611299620241,0.0304415632774773,0.18299180327868855,0.20900640080374586,0.40518518518518515,0.27538949760719184
6,0.9060651609358782,0.02685881791828801,0.4205914162112933,0.2846755065189833,0.40679306290417405,0.2666822593849432
7,0.8608532200951202,0.033226404425516144,0.5544313524590164,0.28726837206209904,0.38770723104056437,0.2748517172138916
8,0.8819084956886106,0.02496122185494126,0.6144808743169399,0.27651266998916885,0.38770723104056437,0.2748517172138916
9,0.9148105263432245,0.023784221572213212,0.6733293488160291,0.27950471669920907,0.38770723104056437,0.2748517172138916
10,0.8491819310916187,0.026684331612559682,0.3005094489981785,0.26329672908327684,0.3242475014697237,0.2510297154280564
11,0.7528022431252749,0.033601267153824256,0.12835553278688525,0.1836051420657165,0.3239417989417989,0.2502908314544035
12,0.7703997783115556,0.030354984147493238,0.307977572859745,0.26330792234943184,0.19166372721928276,0.20799252174673546
