round,AUC_Mean,AUC_STD,Best_F1,Val_AUC
0,0.6928005261828714,0.07126888328912562,,
1,0.7614953414446334,0.06627638118100072,0.72,0.7698068584942845
2,0.7463348426482018,0.07114164082069266,0.676056338028169,0.7788726842727631
3,0.7613705042794409,0.06810617450433212,0.6746987951807228,0.777690185258179
4,0.7089101488707472,0.0718735581438265,0.6464646464646465,0.7418210484824596
5,0.7447455077569759,0.0670663681498708,0.6823529411764706,0.7307843910130075
6,0.749207357972552,0.06954265184923815,0.6813186813186813,0.7745368545526212
7,0.741274439869667,0.06781297243127185,0.6842105263157895,0.7410327158060702
8,0.7581573014554983,0.0671806221088054,0.6981132075471698,0.7745368545526212
9,0.7433790269382851,0.06988116010256047,0.6981132075471698,0.7757193535672053
10,0.7806760245896971,0.06730994411739846,0.6868686868686869,0.7556168703192747
11,0.7618605378675734,0.06578684544372917,0.6851851851851852,0.7571935356720536
12,0.7814332686047561,0.06527180903525501,0.7415730337078652,0.8009459992116673
13,0.7713861659420632,0.06868332066494834,0.7216494845360825,0.785967678360268
14,0.7665173634854068,0.067214624280098,0.7115384615384616,0.7784785179345682
15,0.7630012172622674,0.0691304999852916,0.7142857142857143,0.770595191170674
16,0.8003703133297961,0.06012979152873079,0.7155963302752294,0.7264485612928656
17,0.779677208029415,0.06579601832474533,0.7068965517241379,0.7808435159637367
18,0.788439747521577,0.06314645013645086,0.7037037037037037,0.8037051635790303
19,0.7755746156452162,0.06611988754309178,0.7216494845360825,0.8084351596373669
20,0.7908795426643062,0.06349801448352861,0.7184466019417476,0.7922743397713835
21,0.7732675373526636,0.0666378819733609,0.7070707070707071,0.8060701616081986
22,0.7814466327809123,0.06531857408384457,0.7228915662650602,0.8052818289318092
23,0.7756971831848866,0.06820321526883788,0.7115384615384616,0.8080409932991722
