seed,method,round,auc,final_labeled,final_unlabeled,budget
42,random,0,0.756397653229766,74,0,2
42,random,1,0.6019947287238988,74,0,2
42,random,2,0.6019947287238988,74,0,2
42,uncertainty,0,0.756397653229766,74,0,2
42,uncertainty,1,0.6289634847812766,74,0,2
42,uncertainty,2,0.6019947287238988,74,0,2
43,random,0,0.7542239914951534,74,0,2
43,random,1,0.6080556728592875,74,0,2
43,random,2,0.6290515427291455,74,0,2
43,uncertainty,0,0.7542239914951534,74,0,2
43,uncertainty,1,0.6019947287238988,74,0,2
43,uncertainty,2,0.5827328263218416,74,0,2
44,random,0,0.7456019124723277,74,0,2
44,random,1,0.6019947287238988,74,0,2
44,random,2,0.7421990702825623,74,0,2
44,uncertainty,0,0.7456019124723277,74,0,2
44,uncertainty,1,0.5742336072928149,74,0,2
44,uncertainty,2,0.5742336072928149,74,0,2
45,random,0,0.7542239914951534,74,0,2
45,random,1,0.5716643470509184,74,0,2
45,random,2,0.4835303019872079,74,0,2
45,uncertainty,0,0.7542239914951534,74,0,2
45,uncertainty,1,0.6297558501549828,74,0,2
45,uncertainty,2,0.5728555447489087,74,0,2
46,random,0,0.7456019124723277,74,0,2
46,random,1,0.6111478801772441,74,0,2
46,random,2,0.6019947287238988,74,0,2
46,uncertainty,0,0.7456019124723277,74,0,2
46,uncertainty,1,0.6019947287238988,74,0,2
46,uncertainty,2,0.6019947287238988,74,0,2
